page_id,page_title,page_url,links
22,PS5 In-Kernel Hypervisor Details by SpecterDev for PS5Scene,https://www.psxhax.com/threads/ps5-in-kernel-hypervisor-details-by-specterdev-for-ps5scene.15925/,"https://www.psxhax.com/threads/ps5-system-software-firmware-v2-50-is-now-live-dont-update.8993/,https://www.psxhax.com/threads/exploring-the-ps5-security-landscape-by-specterdev-at-hardwear-io-2023.15702/post-234823,https://www.psxhax.com/threads/exploring-the-ps5-security-landscape-by-specterdev-at-hardwear-io-2023.15702/"
23,New PS4 Game Fake PKGs and PS4 DLC FPKGs Released in PS4Scene,https://www.psxhax.com/threads/new-ps4-game-fake-pkgs-and-ps4-dlc-fpkgs-released-in-ps4scene.15923/,"https://www.psxhax.com/threads/the-callisto-protocol-update-v1-14-ps4-dlc-pack-v2-pkgs-arrive.15298/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/ps4-game-fpkgs-by-cyb1k-cyberpt1000-and-mrboot-fugazi.15140/,https://www.psxhax.com/threads/latest-ps4-fpkg-games-backports-and-updates-in-ps4scene.15469/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/the-king-of-fighters-xv-v1-93-backported-ps4-fpkg-update.15918/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
24,The King of Fighters XV v1.93 Backported PS4 FPKG Update,https://www.psxhax.com/threads/the-king-of-fighters-xv-v1-93-backported-ps4-fpkg-update.15918/,"https://www.psxhax.com/threads/re-village-v1-13-ps4-fpkg-update-by-opoisso893-golemnight.15915/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
25,ShadPS4 PS4 Emulator for Windows & RPCSX PS4 / PS5 Emulator for PC,https://www.psxhax.com/threads/shadps4-ps4-emulator-for-windows-rpcsx-ps4-ps5-emulator-for-pc.15916/,"https://www.psxhax.com/threads/nucleus-ps3-ps4-pc-emulator-open-source-project-by-alexaltea.1351/,https://www.psxhax.com/threads/ps4-compatibility-layer-uplift-for-orbis-on-windows-updated-by-idc.6900/,https://www.psxhax.com/threads/ps4delta-experimental-host-for-ps4-games-on-windows-by-force67.7037/,https://www.psxhax.com/threads/gpcs4-ps4-emulator-for-pc-by-inori-runs-we-are-doomed-psn-game.7313/,https://www.psxhax.com/threads/playstation-4-emulator-rpcs4-by-dh-updates-following-spine-ps4-emulator.10225/,https://www.psxhax.com/threads/empireofsteel-ps4-ps5-emulator-prototype-in-development-by-daeken.13018/,https://www.psxhax.com/threads/orbital-ps4-emulator-gets-dualshock-4-support-latest-demo-by-alexaltea.6846/,https://www.psxhax.com/threads/rpcs3-ps3-emulator-for-pc-adds-fidelityfx-super-resolution-fsr-support.10126/,https://www.psxhax.com/threads/spine-ps4-emulator-for-linux-rumored-demo-video-by-devofspine.6861/,https://www.psxhax.com/threads/kyty-ps4-and-ps5-emulator-project-in-development-by-inorirus.10399/,https://www.psxhax.com/threads/latest-rpcs3-ps3-emulator-update-includes-major-graphical-fixes.10249/,https://www.psxhax.com/threads/spine-ps4-emulator-playstation-4-emulator-for-linux-updated-by-spinedev.10193/,https://www.psxhax.com/threads/obliteration-experimental-ps4-emulator-by-ultimaweapon-based-on-kyty.14257/,https://www.psxhax.com/threads/fpps4-free-pascal-ps4-compatibility-layer-emulator-in-development.10478/,https://www.psxhax.com/threads/orbital-experiments-in-ps4-emulation-demo-video-by-alexaltea.6182/,https://www.psxhax.com/threads/orbital-ps4-emulator-playstation-4-virtualization-by-alexaltea.4781/"
26,RE Village v1.13 PS4 FPKG Update by Opoisso893 / Golemnight,https://www.psxhax.com/threads/re-village-v1-13-ps4-fpkg-update-by-opoisso893-golemnight.15915/,"https://www.psxhax.com/threads/tactics-ogre-reborn-v1-07-backported-ps4-fpkg-released.15909/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
27,New PS4 and PS5 Games Coming to PlayStation Plus in July 2023,https://www.psxhax.com/threads/new-ps4-and-ps5-games-coming-to-playstation-plus-in-july-2023.15913/,https://www.psxhax.com/threads/new-ps4-and-ps5-games-coming-to-playstation-plus-in-june-2023.15753/
28,Tactics Ogre: Reborn v1.07 Backported PS4 FPKG Released,https://www.psxhax.com/threads/tactics-ogre-reborn-v1-07-backported-ps4-fpkg-released.15909/,"https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/mount-blade-ii-bannerlord-v1-13-backported-ps4-fpkg-released.15906/"
29,PS4 Syscon Tools Released by Abkarino / EgyCnq with Guide & Demo Videos,https://www.psxhax.com/threads/ps4-syscon-tools-released-by-abkarino-egycnq-with-guide-demo-videos.15904/,"https://www.psxhax.com/threads/playstation-4-sac-001-ps4-uart-for-dummies-tutorial-e4-flasher-development.3623/,https://www.psxhax.com/threads/ps4-sysglitch-tool-and-syscon-glitching-pinout-by-vvildcard777.7545/,https://www.psxhax.com/threads/ps5-spiway-for-dumping-flashing-playstation-5-spi-flash-by-abkarino.9152/,https://www.psxhax.com/threads/ps4-cfw-toolkit-to-decrypt-encrypt-playstation-4-firmware-files.14816/,https://www.psxhax.com/threads/ps4-renesas-rl78-debug-protocol-implementation-by-fail0verflow.7342/,https://www.psxhax.com/threads/ps4-syscon-read-write-helper-for-system-controller-dumps-via-egycnq.9597/"
30,Mount & Blade II: Bannerlord v1.13 Backported PS4 FPKG Released,https://www.psxhax.com/threads/mount-blade-ii-bannerlord-v1-13-backported-ps4-fpkg-released.15906/,"https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/tekken-7-v5-10-ps4-fpkg-update-by-opoisso893-golemnight.15900/"
31,Tekken 7 v5.10 PS4 FPKG Update by Opoisso893 / Golemnight,https://www.psxhax.com/threads/tekken-7-v5-10-ps4-fpkg-update-by-opoisso893-golemnight.15900/,"https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/aeterna-noctis-v1-05-ps4-fpkg-update-via-opoisso893-golemnight.15887/"
